Taxon,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Acanthurus achilles,272957,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus albimento,1043611,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus albipectoralis,272958,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus auranticavus,219633,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus bahianus,159578,Likely to produce sound under natural conditions but unconfirmed,452136,
Acanthurus bariene,219637,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus blochii,219639,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus chirurgus,159580,Likely to produce sound under natural conditions but unconfirmed,452136,
Acanthurus chronixis,272959,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus coeruleus,159581,Likely to produce sound under natural conditions but unconfirmed,452136,
Acanthurus dussumieri,219641,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus fowleri,272960,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus gahhm,219636,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus grammoptilus,272961,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus guttatus,219650,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus japonicus,272962,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus leucocheilus,219629,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus leucopareius,219624,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus leucosternon,219628,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus lineatus,159582,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus maculiceps,272963,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus mata,219651,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus mindorensis,1493122,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus monroviae,126750,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus nigricans,219638,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus nigricauda,219626,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus nigrofuscus,219640,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus nigroris,219642,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus nubilus,272964,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus olivaceus,219625,Produces active sound under natural conditions,451963,
Acanthurus polyzona,219652,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus pyroferus,219648,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus randalli,272965,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus reversus,272966,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus sohal,219649,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus tennentii,219632,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus thompsoni,219646,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus tractus,301914,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus triostegus,219630,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus tristis,219644,Likely to produce sound under natural conditions but unconfirmed,452075,
Acanthurus xanthopterus,219634,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantopsis bruinen,1493123,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantopsis dialuzona,1022744,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantopsis dinema,1385235,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantopsis ioa,1385236,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantopsis multistigmatus,1009127,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantopsis octoactinotos,1011288,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantopsis rungthipae,1385234,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantopsis spectabilis,1420021,Likely to produce sound under natural conditions but unconfirmed,452075,
Acantopsis thiemmedhi,1010262,Likely to produce sound under natural conditions but unconfirmed,452075,
Acapoeta tanganicae,1018977,Likely to produce sound under natural conditions but unconfirmed,452075,
Acarichthys heckelii,1020157,Likely to produce sound under natural conditions but unconfirmed,452075,
Acarobythites larsonae,279483,Likely to produce sound under natural conditions but unconfirmed,452075,
Acaronia nassa,1026272,Likely to produce sound under natural conditions but unconfirmed,452075,
Acaronia vultuosa,1011523,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius andhraensis,1495506,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius audax,219373,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius brevirostris,1495507,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius caninus,219372,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius cenderawasih,834939,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius chlorostigmatoides,278776,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius cyanomos,278777,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius dayi,278778,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius ennorensis,278779,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius griseus,278781,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius janthinopterus,278782,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius limarius,1376173,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius masoni,278783,Likely to produce sound under natural conditions but unconfirmed,452075,
Acentrogobius moloanus,312541,Likely to produce sound under natural conditions but unconfirmed,452075,
